"%s - Repsonse: %s","%s - Repsonse: %s"
"%s new review(s)","%s new review(s)"
"%s review(s) updated","%s review(s) updated"
"API CREDENTIALS","API CREDENTIALS"
"Activate","Activate"
"Active","Active"
"Add Rich Snippets","Add Rich Snippets"
"Add to Sidebar","Add to Sidebar"
"Add to Sidebar Homepage","Add to Sidebar Homepage"
"Api URL","Api URL"
"Are you sure you want to cleanup logfiles?","Are you sure you want to cleanup logfiles?"
"Are you sure you want to delete all reviews?","Are you sure you want to delete all reviews?"
"Auto Cleaning","Auto Cleaning"
"Based on %s reviews","Based on %s reviews"
"Change only if necessary","Change only if necessary"
"City","City"
"Clean after Days","Clean after Days"
"Cleanup Log","Cleanup Log"
"Comma Separated, as: 10,20,30","Comma Separated, as: 10,20,30"
"Company","Company"
"Company ID","Company ID"
"Company Import","Company Import"
"Connector Code","Connector Code"
"Cron","Cron"
"Date","Date"
"Delay","Delay"
"Delete","Delete"
"Delete all reviews","Delete all reviews"
"Description","Description"
"Email","Email"
"Enable Log Function","Enable Log Function"
"Enabled","Enabled"
"Every 15 minutes","Every 15 minutes"
"Every Hour","Every Hour"
"Every other Hour","Every other Hour"
"External (Kiyoh.nl)","External (Kiyoh.nl)"
"General configuration","General configuration"
"Internal (/kiyoh)","Internal (/kiyoh)"
"Invitation","Invitation"
"Invitation Call","Invitation Call"
"Invitation to write the customer experience","Invitation to write the customer experience"
"Kihoy.com","Kihoy.com"
"KiyOh","KiyOh"
"KiyOh Connect Permission Setting","KiyOh Connect Permission Setting"
"KiyOh Custom Blocks","KiyOh Custom Blocks"
"KiyOh Log Settings","KiyOh Log Settings"
"KiyOh Overview Page","KiyOh Overview Page"
"KiyOh Reviews Sidebar","KiyOh Reviews Sidebar"
"Kiyoh","KiyOh"
"Kiyoh Import Reviews","Kiyoh Import Reviews"
"Kiyoh Logs","Kiyoh Logs"
"Kiyoh Reviews","Kiyoh Reviews"
"Kiyoh.nl","KiyOh.nl"
"Last Update","Last Update"
"Left","Left"
"Left Sidebar","Left Sidebar"
"Length of Reviews","Length of Reviews"
"Link to","Link to"
"Localisation","Localisation"
"Magmodules","Magmodules"
"Manual","Manual"
"Maximum Delay","Maximum Delay"
"Meta Data","Meta Data"
"Meta Keywords","Meta Keywords"
"Negative","Improvement Points"
"No","No"
"No reviews found...","No reviews found..."
"None","None"
"Number of Reviews","Number of Reviews"
"Number of days to complete order may last, if it takes longer then no invitation will be sent. Read more about this feature on Kiyoh.nl.","Number of days to complete order may last, if it takes longer then no invitation will be sent. Read more about this feature on Kiyoh.nl."
"Once a Day","Once a Day"
"Once a Week","Once a Week"
"Overall","Overall"
"Please select item(s)","Please select item(s)"
"Positive","Positive points"
"Process Manually","Process Manually"
"Rating %s based on %s customer reviews","Rating %s based on %s customer reviews"
"Reaction","Reaction"
"Recommend","Recommend"
"Recommendation","Recommendation"
"Remove from Sidebar","Remove from Sidebar"
"Reviews","Reviews"
"Reviews Cron","Reviews Cron"
"Right","Right"
"Right Sidebar","Right Sidebar"
"Score","Score"
"Set to invisible","Set to invisible"
"Set to visible","Set to visible"
"Send customers automatically receive an invitation to share a customer experience.","Send customers automatically receive an invitation to share a customer experience."
"Send the invitation x days after the order is completed","Send the invitation x days after the order is completed"
"Shop","Shop"
"Sidebar",""Sidebar""
"Stats Cron","Stats Cron"
"Succefully deleted all %s saved review(s).","Succefully deleted all %s saved review(s)."
"Suggestions","Suggestions"
"Specify at which status you want to send the invitation. Default is ""Completed"".","Specify at which status you want to send the invitation. Default is ""Completed""."
"Test API","Test API"
"Time","Time"
"Total of %d log record(s) deleted.","Total of %d log record(s) deleted."
"Total of %d review(s) were added to the sidebar.","Total of %d review(s) were added to the sidebar."
"Total of %d review(s) were disabled.","Total of %d review(s) were disabled."
"Total of %d review(s) were enabled.","Total of %d review(s) were enabled."
"Total of %d review(s) were removed from the sidebar.","Total of %d review(s) were removed from the sidebar."
"Total of %s log record(s) deleted.","Total of %s log record(s) deleted."
"This will ensure that the customer receives the invitation shortly after receiving the product and not before. This increases the opportunity that the client will share his experience.","This will ensure that the customer receives the invitation shortly after receiving the product and not before. This increases the opportunity that the client will share his experience."
"Twice a Day","Twice a Day"
"Type","Type"
"Update Review History","Update Review History"
"Update Reviews","Update Reviews"
"Update Summary","Update Summary"
"Url","Url"
"Use the company email address registered with Kiyoh, this is used as en extra validation.","Use the company email address registered with Kiyoh, this is used as en extra validation."
"Use Cronjob","Use Cronjob"
"User","User"
"View all reviews","View all reviews"
"Webwinkel ID %s:","Webwinkel ID %s:"
"Webwinkel ID %s: no updates found, feed is empty or not found!","Webwinkel ID %s: no updates found, feed is empty or not found!"
"Write review","Write review"
"Yes","Yes"
"You can find this information in your Kiyoh account","You can find this information in your Kiyoh account"
"You can only activate the Rich Snippets when this block is shown on your Homepage only","You can only activate the Rich Snippets when this block is shown on your Homepage only"
"and total score updated.","and total score updated."
"on","on"
"total score updated","total score updated"
